State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
MI,Kent County,26081,Large central metro,1052.00,10627.00
MI,Lapeer County,26087,Large fringe metro,166.00,1445.00
MI,Lenawee County,26091,Micropolitan,112.00,1510.00
MI,Livingston County,26093,Large fringe metro,96.00,2148.00
MI,Macomb County,26099,Large fringe metro,1572.00,13601.00
MI,Manistee County,26101,Noncore,13.00,440.00
MI,Marquette County,26103,Micropolitan,106.00,1338.00
MI,Mason County,26105,Micropolitan,34.00,535.00
MI,Mecosta County,26107,Micropolitan,33.00,673.00
MI,Menominee County,26109,Micropolitan,19.00,301.00
MI,Midland County,26111,Small metro,131.00,1674.00
MI,Missaukee County,26113,Micropolitan,13.00,224.00
MI,Monroe County,26115,Small metro,133.00,2046.00
MI,Montcalm County,26117,Large fringe metro,83.00,939.00
MI,Muskegon County,26121,Small metro,383.00,3278.00
MI,Newaygo County,26123,Noncore,36.00,725.00
MI,Oakland County,26125,Large fringe metro,3073.00,22650.00
MI,Oceana County,26127,Noncore,18.00,333.00
MI,Ogemaw County,26129,Noncore,33.00,481.00
MI,Ontonagon County,26131,Noncore,11.00,114.00
MI,Otsego County,26137,Noncore,18.00,434.00
MI,Ottawa County,26139,Large fringe metro,299.00,3253.00
MI,Presque Isle County,26141,Noncore,15.00,215.00
MI,Roscommon County,26143,Noncore,11.00,433.00
MI,Saginaw County,26145,Small metro,762.00,4831.00
MI,St. Clair County,26147,Large fringe metro,397.00,3091.00
MI,St. Joseph County,26149,Micropolitan,45.00,848.00
MI,Sanilac County,26151,Noncore,47.00,643.00
MI,Shiawassee County,26155,Micropolitan,67.00,1139.00
MI,Tuscola County,26157,Noncore,46.00,705.00
MI,Van Buren County,26159,Medium metro,54.00,923.00
MI,Washtenaw County,26161,Medium metro,635.00,6523.00
MI,Wayne County,26163,Large central metro,4354.00,33630.00
MI,Wexford County,26165,Micropolitan,46.00,608.00
MN,Aitkin County,27001,Noncore,30.00,358.00
MN,Anoka County,27003,Large fringe metro,510.00,3781.00
MN,Becker County,27005,Noncore,39.00,552.00
MN,Beltrami County,27007,Micropolitan,74.00,705.00
MN,Benton County,27009,Small metro,60.00,556.00
MN,Blue Earth County,27013,Small metro,74.00,998.00
MN,Brown County,27015,Micropolitan,35.00,454.00
MN,Carlton County,27017,Medium metro,38.00,484.00
MN,Carver County,27019,Large fringe metro,42.00,812.00
MN,Chippewa County,27023,Noncore,30.00,221.00
MN,Chisago County,27025,Large fringe metro,39.00,707.00
MN,Clay County,27027,Small metro,62.00,552.00
MN,Cottonwood County,27033,Noncore,24.00,226.00
